id_participant,id_onesignal,api_phone_survey_url,api_read_key,api_read_url,api_watch_survey_url,api_write_key,api_write_url,app_bundle_build_number,app_bundle_build_version,app_bundle_name,app_one_signal_app_id,location_change,pss_reminder_days,pss_reminder_enabled,pss_reminder_time,q_clothing_color,q_clothing_insulation,q_clothing_material,q_comfort_behavioral,q_comfort_heatintensity,q_comfort_heatstress,q_comfort_heatsymptoms,q_comfort_humidity,q_comfort_ind-activity,q_comfort_out-activity,q_comfort_preference,q_comfort_sensation,q_comfort_sun_a,q_comfort_sun_b,q_comfort_wind,q_environment_shade,q_general_location_area,q_general_location_change,q_general_location_envi,q_indoor_condition,si_ios_version,si_iphone_battery_charge_state,si_iphone_cellular_signal_strength,si_iphone_device_id,si_iphone_location_service_enabled,si_iphone_low_battery_mode_enabled,si_iphone_model,si_iphone_wifi_signal_strength,si_watch_battery_charge_state,si_watch_cellular_signal_strength,si_watch_connected_to_phone,si_watch_device_id,si_watch_location_service_enabled,si_watch_model,si_watch_wifi_signal_strength,si_watchos_version,timestamp_lambda,transmit_trigger,ts_altitude,ts_altitude_lambda,ts_altitude_trigger,ts_latitude,ts_latitude_lambda,ts_latitude_trigger,ts_location_accuracy_horizontal,ts_location_accuracy_vertical,ts_location_acquisition_method,ts_location_floor,ts_location_source_device,ts_longitude,ts_longitude_lambda,ts_longitude_trigger,ts_timestamp_location,ws_HRV,ws_HRV_lambda,ws_HRV_trigger,ws_altitude,ws_altitude_lambda,ws_altitude_trigger,ws_audio_exposure_headphones,ws_audio_exposure_headphones_lambda,ws_audio_exposure_headphones_trigger,ws_heart_rate,ws_heart_rate_lambda,ws_heart_rate_trigger,ws_latitude,ws_latitude_lambda,ws_latitude_trigger,ws_location_accuracy_horizontal,ws_location_accuracy_vertical,ws_location_acquisition_method,ws_location_floor,ws_location_source_device,ws_longitude,ws_longitude_lambda,ws_longitude_trigger,ws_oxygen_saturation,ws_oxygen_saturation_lambda,ws_oxygen_saturation_trigger,ws_resting_heart_rate,ws_resting_heart_rate_lambda,ws_resting_heart_rate_trigger,ws_sleep_REM,ws_sleep_REM_lambda,ws_sleep_REM_trigger,ws_sleep_awake,ws_sleep_awake_lambda,ws_sleep_awake_trigger,ws_sleep_core,ws_sleep_core_lambda,ws_sleep_core_trigger,ws_sleep_deep,ws_sleep_deep_lambda,ws_sleep_deep_trigger,ws_sleep_in_bed,ws_sleep_in_bed_lambda,ws_sleep_in_bed_trigger,ws_stand_time,ws_stand_time_lambda,ws_stand_time_trigger,ws_step_count,ws_step_count_lambda,ws_step_count_trigger,ws_survey_count,ws_survey_count_lambda,ws_survey_count_trigger,ws_timestamp_location,ws_timestamp_start,ws_walking_distance,ws_walking_distance_lambda,ws_walking_distance_trigger,wss_goal,wss_participation_days,wss_participation_time_end,wss_participation_time_start,wss_reminder_enabeled,wss_reminder_interval,wss_time_out,wss_title
esse09,678d0ac0-8803-4c8a-9c29-ab14df5fbcfe,https://forms.gle/BGGJ8es2fz4uvmFc7,5LkKVBO1Zp2pbYBbnkQsb8njmf8sGB5zhMrYQmPd,https://at6x6b7v54hmoki6dlyew72csq0ihxrn.lambda-url.ap-southeast-1.on.aws,https://raw.githubusercontent.com/buds-lab/calma-esse-heat-stress-public/main/Esse/data/watch_surveys/ws_esse_2024-02-18_1423.json,5LkKVBO1Zp2pbYBbnkQsb8njmf8sGB5zhMrYQmPd,https://43cb5nnwe3mejojyftbuaow4640nsrnd.lambda-url.ap-southeast-1.on.aws,3.0.1,7.0,app.cozie.ios,17d346bf-bfe5-4422-be96-2a8e4ae4cc3d,,,False,,,,,,,,,,,,,,,,,,,,,,17.2.1,-100.0,0.0,C5A6CB94-307A-491A-BE80-96F09111153F,False,False,iPhone,0.0,0.0,0.0,False,,False,,0.0,,2024-02-20T07:18:01.829531Z,app_change_settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,"Mo,Tu,We,Th,Fr,Sa,Su",21:00,07:00,True,120.0,55.0,Weather (short)
esse09,678d0ac0-8803-4c8a-9c29-ab14df5fbcfe,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-20T07:18:12.068542Z,location_change,31.0,2024-02-20T07:18:12.068542Z,location_change,1.2970834161546092,2024-02-20T07:18:12.068542Z,location_change,39.0,17.0,GPS,0.0,iPhone,103.7708998572538,2024-02-20T07:18:12.068542Z,location_change,2024-02-20T15:18:06.279+0800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esse09,678d0ac0-8803-4c8a-9c29-ab14df5fbcfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-20T07:30:42.973107Z,watch_survey,,,,,,,,,,,,,,,,,,,,,,,,,85.0,2024-02-20T07:30:42.973107Z,watch_survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esse09,678d0ac0-8803-4c8a-9c29-ab14df5fbcfe,,,,,,,,,,,,,,,Agree,Heavy,Agree,,,,,,Sitting,,No Change,,,,,,Yes,More than 15min ago,Indoor,Air conditioned,,,,,,,,,,,,,,,,,2024-02-20T07:19:00.506000Z,watch_survey,,,,,,,,,,,,,,,,,,,31.33471441268921,2024-02-20T07:19:00.506000Z,watch_survey,,,,,,,1.2974752157616185,2024-02-20T07:19:00.506000Z,watch_survey,35.0,29.481111526489254,GPS,0.0,Apple Watch,103.77110286518592,2024-02-20T07:19:00.506000Z,watch_survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2024-02-20T07:19:00.506000Z,watch_survey,2024-02-20T15:18:44.341+0800,2024-02-20T15:18:01.651+0800,,,,,,,,,,,Outdoor Comfort - Heat Stress
esse09,678d0ac0-8803-4c8a-9c29-ab14df5fbcfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-20T07:30:42.946472Z,watch_survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,2024-02-20T07:30:42.946472Z,watch_survey,,,,,,,,,,,,,,,,,,,
esse09,678d0ac0-8803-4c8a-9c29-ab14df5fbcfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-20T07:41:28.326714Z,watch_survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.0,2024-02-20T07:41:28.303678Z,watch_survey,,,,,,274.8054137337021,2024-02-20T07:41:28.326714Z,watch_survey,,,,,,,,
esse09,678d0ac0-8803-4c8a-9c29-ab14df5fbcfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-20T07:30:42.965282Z,watch_survey,,,,,,,,,,,,,,,,,,,,,,,,,115.0,2024-02-20T07:30:42.965282Z,watch_survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esse09,678d0ac0-8803-4c8a-9c29-ab14df5fbcfe,,,,,,,,,,,,,,,Agree,Heavy,Agree,Nothing, weak,Yes,High body temperature,neutral,,Sitting,Cooler,slightly warm,Yes,strong,stale,,Yes,Less than 5min ago,Outdoor,,,,,,,,,,,,,,,,,,2024-02-20T07:30:41.862023Z,watch_survey,,,,,,,,,,,,,,,,,,,38.368767738342285,2024-02-20T07:30:41.862023Z,watch_survey,,,,,,,1.297327528320839,2024-02-20T07:30:41.862023Z,watch_survey,40.0,28.645626068115234,GPS,0.0,Apple Watch,103.77178470141008,2024-02-20T07:30:41.862023Z,watch_survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2024-02-20T07:30:41.862023Z,watch_survey,2024-02-20T15:29:28.099+0800,2024-02-20T15:29:28.051+0800,,,,,,,,,,,Outdoor Comfort - Heat Stress
esse09,678d0ac0-8803-4c8a-9c29-ab14df5fbcfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-20T07:41:28.333363Z,watch_survey,,,,,,,,,,,,,,,,,,,,,,,,,147.0,2024-02-20T07:41:28.333363Z,watch_survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esse09,678d0ac0-8803-4c8a-9c29-ab14df5fbcfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-20T08:50:01.274092Z,watch_survey,,,,,,,,,,,,,,,,,,,,,,,,,117.0,2024-02-20T08:50:01.274092Z,watch_survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
